frame,condition number,number of iterations,matrix size
10.0,420305.70985660586,234.0,1307.0
20.0,420541.8555631403,232.0,1308.0
30.0,420541.85556314286,238.0,1308.0
40.0,420387.70608636003,338.0,1307.0
50.0,404160.71711570106,339.0,1167.0
60.0,396326.5426329,331.0,1245.0
70.0,415649.83543457923,343.0,1348.0
80.0,414637.2848754108,346.0,1378.0
90.0,411928.47885150684,354.0,1365.0
100.0,420353.20916653296,351.0,1261.0
110.0,424087.97275062377,367.0,1244.0
120.0,412142.8536032815,360.0,1322.0
130.0,388151.39443494985,348.0,1335.0
140.0,391743.75890840165,357.0,1361.0
150.0,387190.3881419446,372.0,1305.0
160.0,378736.86910442857,332.0,1248.0
170.0,374161.2208996611,336.0,1213.0
180.0,373287.1389688406,325.0,1238.0
190.0,372363.55358536926,338.0,1256.0
200.0,368630.67527599627,319.0,1258.0
210.0,362415.61463275476,313.0,1188.0
220.0,384992.6591466822,340.0,1181.0
230.0,406962.9853104048,342.0,1166.0
240.0,419251.68163402035,342.0,1221.0
250.0,409225.1444941685,341.0,1222.0
260.0,419667.27183246304,339.0,1255.0
270.0,415867.51230121107,337.0,1234.0
280.0,422784.90646147425,357.0,1231.0
290.0,421539.249964376,336.0,1239.0
