frame,condition number,number of iterations,matrix size
10.0,375170.03296549077,419.0,3849.0
20.0,375170.0329654905,392.0,3849.0
30.0,375170.0329654905,412.0,3849.0
40.0,375121.3562072679,611.0,3849.0
50.0,389142.327670664,599.0,3823.0
60.0,381558.453228032,549.0,3834.0
70.0,375618.60230754217,576.0,3835.0
80.0,377868.0414799654,631.0,3831.0
90.0,388212.62035235285,576.0,3837.0
100.0,406809.3097164141,586.0,3842.0
110.0,408735.94318470586,606.0,3835.0
120.0,397240.6908514709,640.0,3836.0
130.0,384003.3042255092,564.0,3835.0
140.0,372698.14913626463,557.0,3832.0
150.0,369010.16476950626,577.0,3826.0
160.0,370624.289777882,571.0,3824.0
170.0,368750.93939950346,570.0,3817.0
180.0,365872.8571281126,570.0,3812.0
190.0,354362.45981527364,584.0,3809.0
200.0,345125.26350055076,562.0,3810.0
210.0,347579.3524955277,579.0,3813.0
220.0,365710.4716430251,599.0,3815.0
230.0,393757.668280372,626.0,3821.0
240.0,397137.0694340787,589.0,3817.0
250.0,389571.9174990591,609.0,3818.0
260.0,381850.063610458,651.0,3816.0
270.0,380431.8891886549,584.0,3820.0
280.0,385009.3648276146,591.0,3819.0
290.0,388796.2999909867,587.0,3806.0
